Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alexandre,2024-01-14 18:47:09,00:00:32,Autoplayed: user action: None; ,"Trailer: Meu Irmão, Minha Irmã",TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:32,Not latest view,BR (Brazil)
Alexandre,2024-01-14 16:15:15,00:24:28,Autoplayed: user action: User_Interaction; ,Lift: Roubo nas Alturas,,TCL TV 2018 UHD Android TV Smart TV,01:36:08,01:36:08,BR (Brazil)
Alexandre,2024-01-14 16:03:36,00:11:26,,A Caminho do Verão,,TCL TV 2018 UHD Android TV Smart TV,00:37:12,00:37:12,BR (Brazil)
Alexandre,2024-01-14 15:49:16,00:13:58,,Lift: Roubo nas Alturas,,TCL TV 2018 UHD Android TV Smart TV,01:11:42,Not latest view,BR (Brazil)
Alexandre,2024-01-14 15:39:17,00:09:05,,Lift: Roubo nas Alturas,,TCL TV 2018 UHD Android TV Smart TV,00:57:46,Not latest view,BR (Brazil)
Alexandre,2024-01-14 15:13:05,00:25:51,,A Caminho do Verão,,TCL TV 2018 UHD Android TV Smart TV,00:25:51,Not latest view,BR (Brazil)
Alexandre,2024-01-14 15:12:43,00:00:17,Autoplayed: user action: None; ,Trailer: A Caminho do Verão,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:17,00:00:17,BR (Brazil)
Alexandre,2024-01-13 14:23:26,00:51:00,Autoplayed: user action: User_Interaction; ,Lift: Roubo nas Alturas,,TCL TV 2018 UHD Android TV Smart TV,00:51:00,Not latest view,BR (Brazil)
Alexandre,2024-01-13 14:18:59,00:01:01,Autoplayed: user action: None; ,Rebel Moon - Parte 1: A Menina do Fogo (Clipe): Rebel Moon - Parte 1: A Menina do Fogo,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:01:01,00:01:01,BR (Brazil)
Alexandre,2024-01-13 14:18:37,00:00:07,Autoplayed: user action: None; ,Temporada 1 (Clipe): Detetive Forst,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:15,00:00:15,BR (Brazil)
Alexandre,2024-01-13 14:18:20,00:00:09,Autoplayed: user action: None; ,Temporada 1 (Clipe): Detetive Forst,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:09,Not latest view,BR (Brazil)
Alexandre,2024-01-13 02:48:20,00:02:03,,Trailer: Lift: Roubo nas Alturas,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:02:03,00:02:03,BR (Brazil)
Alexandre,2024-01-13 02:46:03,00:02:13,,Temporada 1 (Trailer): Irmãos Sun,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:02:13,00:02:13,BR (Brazil)
Alexandre,2024-01-13 01:39:58,01:04:30,Autoplayed: user action: User_Interaction; ,A Criatura de Gyeongseong: Temporada 1: Lágrima (Episódio 10),,TCL TV 2018 UHD Android TV Smart TV,01:12:38,01:12:38,BR (Brazil)
Alexandre,2024-01-13 00:35:51,01:03:51,Autoplayed: user action: User_Interaction; ,A Criatura de Gyeongseong: Temporada 1: Atrocidade (Episódio 9),,TCL TV 2018 UHD Android TV Smart TV,01:03:58,01:03:58,BR (Brazil)
Alexandre,2024-01-12 23:44:03,00:51:27,,A Criatura de Gyeongseong: Temporada 1: Despertar (Episódio 8),,TCL TV 2018 UHD Android TV Smart TV,00:59:04,00:59:04,BR (Brazil)
Alexandre,2024-01-12 23:43:06,00:00:52,Autoplayed: user action: None; ,Temporada 1 (Clipe 2): A Criatura de Gyeongseong,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:52,00:00:52,BR (Brazil)
Alexandre,2024-01-12 23:20:56,00:21:52,,Garoto Devora Universo: Minissérie: Garoto cheira rato (Episódio 1),,TCL TV 2018 UHD Android TV Smart TV,00:28:00,00:28:00,BR (Brazil)
Alexandre,2024-01-12 23:15:26,00:04:59,,Garoto Devora Universo: Minissérie: Garoto cheira rato (Episódio 1),,TCL TV 2018 UHD Android TV Smart TV,00:04:59,Not latest view,BR (Brazil)
Alexandre,2024-01-12 23:15:03,00:00:03,Autoplayed: user action: None; ,Garoto Devora Universo: Minissérie: Garoto cheira rato (Episódio 1),,TCL TV 2018 UHD Android TV Smart TV,00:00:03,Not latest view,BR (Brazil)
Alexandre,2024-01-12 23:14:12,00:00:48,Autoplayed: user action: None; ,Minissérie (Clipe): Garoto Devora Universo,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:48,00:00:48,BR (Brazil)
Alexandre,2024-01-12 23:14:06,00:00:01,Autoplayed: user action: None; ,Lift: Roubo nas Alturas,,TCL TV 2018 UHD Android TV Smart TV,00:00:01,Not latest view,BR (Brazil)
Alexandre,2024-01-12 23:10:34,00:00:41,Autoplayed: user action: None; ,Lift: Roubo nas Alturas (Clipe): Lift: Roubo nas Alturas,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:41,00:00:41,BR (Brazil)
Alexandre,2024-01-12 23:10:08,00:00:23,Autoplayed: user action: None; ,Troia: A Queda de Uma Cidade (Trailer),TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:24,00:00:24,BR (Brazil)
Alexandre,2024-01-12 23:09:57,00:00:04,Autoplayed: user action: None; ,Temporada 1 (Clipe): ONE PIECE: A Série,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Alexandre,2024-01-12 23:09:43,00:00:06,Autoplayed: user action: None; ,Temporada 2 (Trailer): Outer Banks,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:06,00:00:06,BR (Brazil)
Alexandre,2024-01-12 23:09:27,00:00:13,Autoplayed: user action: None; ,Minissérie (Clipe): Quem é Erin Carter?,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:13,00:00:13,BR (Brazil)
Alexandre,2024-01-12 23:08:58,00:00:12,Autoplayed: user action: None; ,Medieval_hook_05_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:12,00:00:12,BR (Brazil)
Alexandre,2024-01-12 23:08:14,00:00:10,Autoplayed: user action: None; ,The Chosen: Season 1_hook_03_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:10,00:00:10,BR (Brazil)
Alexandre,2024-01-12 23:07:43,00:00:17,Autoplayed: user action: None; ,Temporada 1 (Teaser 3): Irmãos Sun,TEASER_TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:17,00:00:17,BR (Brazil)
Alexandre,2024-01-12 23:07:31,00:00:06,Autoplayed: user action: None; ,Lift: Roubo nas Alturas (Clipe): Lift: Roubo nas Alturas,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:06,Not latest view,BR (Brazil)
Alexandre,2024-01-07 21:14:28,00:00:10,Autoplayed: user action: None; ,Estrada Sem Lei (Trailer),TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:10,00:00:10,BR (Brazil)
Alexandre,2024-01-07 21:13:59,00:00:08,Autoplayed: user action: None; ,Teaser: Army of the Dead: Invasão em Las Vegas,TEASER_TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:08,00:00:08,BR (Brazil)
Alexandre,2024-01-07 21:13:34,00:00:07,Autoplayed: user action: None; ,Ligações Perigosas (Clipe): Ligações Perigosas,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:07,00:00:07,BR (Brazil)
Alexandre,2024-01-07 21:13:25,00:00:06,Autoplayed: user action: None; ,Minissérie (Trailer): Quem é Erin Carter?,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:06,00:00:06,BR (Brazil)
Alexandre,2024-01-07 19:12:42,00:18:34,,Quem é Erin Carter?: Minissérie: Episódio 5 (Episódio 5),,TCL TV 2018 UHD Android TV Smart TV,00:18:40,00:18:40,BR (Brazil)
Alexandre,2024-01-07 18:28:02,00:43:45,,Quem é Erin Carter?: Minissérie: Episódio 4 (Episódio 4),,TCL TV 2018 UHD Android TV Smart TV,00:43:52,00:43:52,BR (Brazil)
Alexandre,2024-01-07 17:39:33,00:48:24,,Quem é Erin Carter?: Minissérie: Episódio 3 (Episódio 3),,TCL TV 2018 UHD Android TV Smart TV,00:48:30,00:48:30,BR (Brazil)
Alexandre,2024-01-07 16:55:50,00:43:38,,Quem é Erin Carter?: Minissérie: Episódio 2 (Episódio 2),,TCL TV 2018 UHD Android TV Smart TV,00:43:43,00:43:43,BR (Brazil)
Alexandre,2024-01-07 16:18:36,00:37:11,,Quem é Erin Carter?: Minissérie: Episódio 1 (Episódio 1),,TCL TV 2018 UHD Android TV Smart TV,00:52:19,00:52:19,BR (Brazil)
Alexandre,2024-01-07 16:14:39,00:00:16,Autoplayed: user action: None; ,De Férias da Família (Clipe): De Férias da Família,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:16,00:00:16,BR (Brazil)
Alexandre,2024-01-07 16:14:22,00:00:05,Autoplayed: user action: None; ,Mother's Day_hook_08_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:05,00:00:05,BR (Brazil)
Alexandre,2024-01-07 16:12:42,00:00:04,Autoplayed: user action: None; ,Trailer: O Bosque,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:05,00:00:05,BR (Brazil)
Alexandre,2024-01-07 16:11:19,00:00:04,Autoplayed: user action: None; ,Esposa de Aluguel (Clipe 9): Esposa de Aluguel,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Alexandre,2024-01-07 16:10:49,00:00:07,,Trailer: Troco em Dobro,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:07,00:00:07,BR (Brazil)
Alexandre,2024-01-07 16:10:31,00:00:14,Autoplayed: user action: None; ,Troco em Dobro,,TCL TV 2018 UHD Android TV Smart TV,00:00:14,00:00:14,BR (Brazil)
Alexandre,2024-01-07 16:08:45,00:00:11,Autoplayed: user action: None; ,Somewhere Between: Minissérie: Para que alguém viva (Episódio 1),,TCL TV 2018 UHD Android TV Smart TV,00:20:22,00:20:22,BR (Brazil)
Alexandre,2024-01-07 16:07:33,00:00:38,Autoplayed: user action: User_Interaction; ,Esposa de Aluguel,,TCL TV 2018 UHD Android TV Smart TV,00:02:04,00:02:04,BR (Brazil)
Alexandre,2024-01-07 16:05:28,00:00:03,Autoplayed: user action: None; ,Brave Blue World - A Crise Hídrica,,TCL TV 2018 UHD Android TV Smart TV,00:00:03,00:00:03,BR (Brazil)
Alexandre,2024-01-07 16:04:30,00:00:04,Autoplayed: user action: None; ,Gênio indomável,,TCL TV 2018 UHD Android TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Alexandre,2024-01-07 14:31:10,00:15:57,,Star Trek: Prodigy: Temporada 1: Achados e perdidos – Parte 1 (Episódio 1),,TCL TV 2018 UHD Android TV Smart TV,00:15:57,00:15:57,BR (Brazil)
Alexandre,2024-01-07 14:30:52,00:00:14,Autoplayed: user action: None; ,Star Trek: Prodigy: Season 1_hook_03_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:14,00:00:14,BR (Brazil)
Alexandre,2024-01-07 13:59:55,00:30:32,Autoplayed: user action: User_Interaction; ,Senhorita Shampoo,,TCL TV 2018 UHD Android TV Smart TV,00:34:57,00:34:57,BR (Brazil)
Alexandre,2024-01-07 13:53:49,00:05:24,,Senhorita Shampoo,,TCL TV 2018 UHD Android TV Smart TV,00:06:30,Not latest view,BR (Brazil)
Alexandre,2024-01-07 13:53:29,00:00:15,Autoplayed: user action: None; ,Senhorita Shampoo (Clipe): Senhorita Shampoo,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:15,00:00:15,BR (Brazil)
Alexandre,2024-01-07 13:52:22,00:00:17,Autoplayed: user action: None; ,Temporada 1 (Trailer): Caçadoras de Recompensas,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:17,00:00:17,BR (Brazil)
Alexandre,2024-01-07 13:52:00,00:00:15,Autoplayed: user action: None; ,O Plano Imperfeito (Trailer),TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:15,00:00:15,BR (Brazil)
Alexandre,2024-01-07 13:51:27,00:00:11,Autoplayed: user action: None; ,Temporada 1 (Trailer): Doona!,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:11,00:00:11,BR (Brazil)
Alexandre,2024-01-07 13:51:03,00:00:20,Autoplayed: user action: None; ,Trailer: Nova Ordem Espacial,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:20,00:00:20,BR (Brazil)
Alexandre,2024-01-07 13:50:49,00:00:05,Autoplayed: user action: None; ,Trailer: Meus Sogros Tão pro Crime,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:05,00:00:05,BR (Brazil)
Alexandre,2024-01-07 13:50:36,00:00:04,Autoplayed: user action: None; ,Bleach (Trailer),TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:05,00:00:05,BR (Brazil)
Alexandre,2024-01-07 13:50:16,00:00:17,Autoplayed: user action: None; ,Trailer: Combinação Perfeita,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:17,00:00:17,BR (Brazil)
Alexandre,2024-01-07 13:49:57,00:00:13,Autoplayed: user action: None; ,Trailer: O Projeto Adam,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:13,00:00:13,BR (Brazil)
Alexandre,2024-01-07 13:49:32,00:00:08,Autoplayed: user action: None; ,Trailer: A Lição de Moremi,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:08,00:00:08,BR (Brazil)
Alexandre,2024-01-07 13:48:29,00:00:06,Autoplayed: user action: None; ,Temporada 1 (Clipe 3): Irmãos Sun,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:06,Not latest view,BR (Brazil)
Alexandre,2024-01-07 13:45:35,00:00:47,Autoplayed: user action: None; ,Do Outro Lado da Dor (Clipe 2): Do Outro Lado da Dor,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:56,00:00:56,BR (Brazil)
Alexandre,2024-01-07 13:44:22,00:00:09,Autoplayed: user action: None; ,Do Outro Lado da Dor (Clipe 2): Do Outro Lado da Dor,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:10,Not latest view,BR (Brazil)
Alexandre,2024-01-06 01:49:45,00:58:53,Autoplayed: user action: User_Interaction; ,Sob o sol da Toscana,,TCL TV 2018 UHD Android TV Smart TV,01:00:09,01:00:09,BR (Brazil)
Alexandre,2024-01-06 01:49:08,00:00:09,Autoplayed: user action: None; ,Temporada 1 (Clipe): Bem-vindos ao Éden,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:09,00:00:09,BR (Brazil)
Alexandre,2024-01-06 01:48:42,00:00:22,Autoplayed: user action: None; ,Temporada 1 (Trailer): Monstros da Cracóvia,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:22,00:00:22,BR (Brazil)
Alexandre,2024-01-06 01:48:23,00:00:05,Autoplayed: user action: None; ,Temporada 3 (Trailer): Dark,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:05,00:00:05,BR (Brazil)
Alexandre,2024-01-06 01:48:08,00:00:11,Autoplayed: user action: None; ,Temporada 1 (Clipe): Cabeça Quente,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:11,00:00:11,BR (Brazil)
Alexandre,2024-01-06 01:48:00,00:00:05,Autoplayed: user action: None; ,To the Lake: Season 1_hook_primary_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:05,00:00:05,BR (Brazil)
Alexandre,2024-01-06 01:47:48,00:00:08,Autoplayed: user action: None; ,A Ordem: Temporada 1 (Trailer 1),TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:08,00:00:08,BR (Brazil)
Alexandre,2024-01-06 01:47:24,00:00:21,Autoplayed: user action: None; ,Alice in Borderland: Season 1 - Upper Bound Clip 2,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:21,00:00:21,BR (Brazil)
Alexandre,2024-01-06 01:11:19,00:00:08,Autoplayed: user action: None; ,Temporada 1 (Trailer): Irmãos Sun,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:08,Not latest view,BR (Brazil)
Alexandre,2024-01-06 00:22:27,00:48:49,,GANTZ:O,,TCL TV 2018 UHD Android TV Smart TV,01:30:53,01:30:53,BR (Brazil)
Alexandre,2024-01-06 00:02:52,00:00:38,Autoplayed: user action: None; ,Gantz:O - CLM 1,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:38,00:00:38,BR (Brazil)
Alexandre,2024-01-06 00:02:26,00:00:12,Autoplayed: user action: None; ,Uma linda mulher,,TCL TV 2018 UHD Android TV Smart TV,00:00:12,00:00:12,BR (Brazil)
Alexandre,2024-01-06 00:01:44,00:00:13,Autoplayed: user action: None; ,Encontro de amor,,TCL TV 2018 UHD Android TV Smart TV,00:03:00,00:03:00,BR (Brazil)
Alexandre,2024-01-06 00:01:24,00:00:04,Autoplayed: user action: None; ,Minissérie (Clipe): A Grande Ilusão,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:05,00:00:05,BR (Brazil)
Alexandre,2024-01-06 00:01:10,00:00:04,Autoplayed: user action: None; ,Secret Royal Inspector & Joy: Season 1_hook_04_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Alexandre,2024-01-06 00:00:53,00:00:11,Autoplayed: user action: None; ,Riverdale: Season 1_hook_primary_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:11,00:00:11,BR (Brazil)
Alexandre,2024-01-05 23:27:10,00:00:53,Autoplayed: user action: None; ,Temporada 1 (Clipe): Berlim,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:53,00:00:53,BR (Brazil)
Alexandre,2024-01-04 23:54:53,00:57:13,,Shanghai Fortress,,TCL TV 2018 UHD Android TV Smart TV,01:40:09,01:40:09,BR (Brazil)
Alexandre,2024-01-04 23:15:23,00:38:53,,Shanghai Fortress,,TCL TV 2018 UHD Android TV Smart TV,00:43:00,Not latest view,BR (Brazil)
Alexandre,2024-01-04 23:13:09,00:01:21,Autoplayed: user action: None; ,Teaser: Um Tira da Pesada 4: Axel Foley,TEASER_TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:01:21,00:01:21,BR (Brazil)
Alexandre,2024-01-04 23:12:09,00:00:09,Autoplayed: user action: None; ,Temporada 1 (Clipe): Berlim,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:09,Not latest view,BR (Brazil)
Alexandre,2024-01-04 23:11:50,00:00:10,Autoplayed: user action: None; ,Teaser 2: A Sociedade da Neve,TEASER_TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:10,00:00:10,BR (Brazil)
Alexandre,2024-01-04 23:11:32,00:00:13,Autoplayed: user action: None; ,Temporada 1 (Clipe 2): Irmãos Sun,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:13,00:00:13,BR (Brazil)
Alexandre,2024-01-04 23:11:13,00:00:04,Autoplayed: user action: None; ,Temporada 1 (Clipe): Tudo pra Ontem,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:06,00:00:06,BR (Brazil)
Alexandre,2024-01-04 22:55:34,00:14:59,Autoplayed: user action: User_Interaction; ,Fate: A Saga Winx: Temporada 1: Seja qual for a verdade (Episódio 5),,TCL TV 2018 UHD Android TV Smart TV,00:37:04,00:37:04,BR (Brazil)
Alexandre,2024-01-04 22:34:36,00:20:40,,A Grande Ilusão: Minissérie: Episódio 5 (Episódio 5),,TCL TV 2018 UHD Android TV Smart TV,00:20:45,00:20:45,BR (Brazil)
Alexandre,2024-01-04 21:46:26,00:48:08,,A Grande Ilusão: Minissérie: Episódio 4 (Episódio 4),,TCL TV 2018 UHD Android TV Smart TV,00:48:13,00:48:13,BR (Brazil)
Alexandre,2024-01-04 21:07:47,00:38:25,Autoplayed: user action: User_Interaction; ,A Grande Ilusão: Minissérie: Episódio 3 (Episódio 3),,TCL TV 2018 UHD Android TV Smart TV,00:38:22,00:38:22,BR (Brazil)
Alexandre,2024-01-04 20:24:25,00:43:18,,A Grande Ilusão: Minissérie: Episódio 2 (Episódio 2),,TCL TV 2018 UHD Android TV Smart TV,00:43:23,00:43:23,BR (Brazil)
Alexandre,2024-01-04 19:31:11,00:53:11,Autoplayed: user action: User_Interaction; ,A Grande Ilusão: Minissérie: Episódio 1 (Episódio 1),,TCL TV 2018 UHD Android TV Smart TV,00:53:11,00:53:11,BR (Brazil)
Alexandre,2024-01-04 01:13:44,00:00:30,Autoplayed: user action: None; ,Tyson's Run_hook_primary_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:30,00:00:30,BR (Brazil)
Alexandre,2024-01-04 00:27:41,00:45:07,,A Cozinha de Fermat: Temporada 1: Episódio 5 (Episódio 5),,TCL TV 2018 UHD Android TV Smart TV,00:45:08,00:45:08,BR (Brazil)
Alexandre,2024-01-03 23:42:21,00:45:17,,A Cozinha de Fermat: Temporada 1: Episódio 4 (Episódio 4),,TCL TV 2018 UHD Android TV Smart TV,00:45:17,00:45:17,BR (Brazil)
Alexandre,2024-01-03 22:57:32,00:44:46,,A Cozinha de Fermat: Temporada 1: Episódio 3 (Episódio 3),,TCL TV 2018 UHD Android TV Smart TV,00:44:46,00:44:46,BR (Brazil)
Alexandre,2024-01-03 22:09:28,00:47:35,Autoplayed: user action: User_Interaction; ,A Cozinha de Fermat: Temporada 1: Episódio 2 (Episódio 2),,TCL TV 2018 UHD Android TV Smart TV,00:45:20,00:45:20,BR (Brazil)
Alexandre,2024-01-03 21:13:20,00:55:55,Autoplayed: user action: User_Interaction; ,A Cozinha de Fermat: Temporada 1: Episódio 1 (Episódio 1),,TCL TV 2018 UHD Android TV Smart TV,00:58:49,00:58:49,BR (Brazil)
Alexandre,2024-01-03 20:24:27,00:45:04,Autoplayed: user action: User_Interaction; ,Tempo,,TCL TV 2018 UHD Android TV Smart TV,01:48:30,01:48:30,BR (Brazil)
Alexandre,2024-01-03 20:24:01,00:00:07,Autoplayed: user action: None; ,Knokke Off: Season 1_hook_05_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:07,00:00:07,BR (Brazil)
Alexandre,2024-01-03 20:23:43,00:00:04,Autoplayed: user action: None; ,Minissérie (Trailer): Você é o que Você Come: As Dietas dos Gêmeos,TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Alexandre,2024-01-03 20:23:17,00:00:23,Autoplayed: user action: None; ,Knokke Off: Season 1_hook_05_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:23,Not latest view,BR (Brazil)
Alexandre,2024-01-03 18:33:53,00:00:02,Autoplayed: user action: User_Interaction; ,"Ah, o Natal...: Temporada 1: Levada, mas legal (Episódio 4)",,TCL TV 2018 UHD Android TV Smart TV,00:00:09,00:00:09,BR (Brazil)
Alexandre,2024-01-03 18:28:10,00:04:34,,"Ah, o Natal...: Temporada 1: Algo velho, algo novo (Episódio 3)",,TCL TV 2018 UHD Android TV Smart TV,00:29:16,00:29:16,BR (Brazil)
Alexandre,2024-01-03 18:27:57,00:00:04,Autoplayed: user action: None; ,"Temporada 1 (Clipe): Ah, o Natal...",HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:04,00:00:04,BR (Brazil)
Alexandre,2024-01-03 18:27:35,00:00:04,Autoplayed: user action: None; ,"Ah, o Natal...: Temporada 1: Levada, mas legal (Episódio 4)",,TCL TV 2018 UHD Android TV Smart TV,00:02:16,Not latest view,BR (Brazil)
Alexandre,2024-01-03 18:26:32,00:00:29,,"Ah, o Natal...: Temporada 1: Levada, mas legal (Episódio 4)",,TCL TV 2018 UHD Android TV Smart TV,00:02:13,Not latest view,BR (Brazil)
Alexandre,2024-01-03 18:25:27,00:00:07,,"Ah, o Natal...: Temporada 1: A mentira de Natal (Episódio 1)",,TCL TV 2018 UHD Android TV Smart TV,00:00:06,00:00:06,BR (Brazil)
Alexandre,2024-01-03 18:23:34,00:00:28,,"Ah, o Natal...: Temporada 1: A mentira de Natal (Episódio 1)",,TCL TV 2018 UHD Android TV Smart TV,00:31:43,Not latest view,BR (Brazil)
Alexandre,2024-01-03 18:23:23,00:00:07,Autoplayed: user action: None; ,"Temporada 1 (Clipe): Ah, o Natal...",HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:07,Not latest view,BR (Brazil)
Alexandre,2024-01-03 18:22:47,00:00:18,Autoplayed: user action: None; ,Yellowjackets: Season 1_hook_primary_16x9,HOOK,TCL TV 2018 UHD Android TV Smart TV,00:00:18,00:00:18,BR (Brazil)
Alexandre,2024-01-03 03:25:27,00:22:01,Autoplayed: user action: None; ,Fate: A Saga Winx: Temporada 1: Seja qual for a verdade (Episódio 5),,TCL TV 2018 UHD Android TV Smart TV,00:22:06,Not latest view,BR (Brazil)
Alexandre,2024-01-03 03:03:10,00:22:13,,Fate: A Saga Winx: Temporada 1: Assassino na escola (Episódio 4),,TCL TV 2018 UHD Android TV Smart TV,00:44:30,00:44:30,BR (Brazil)
Alexandre,2024-01-03 03:02:36,00:00:19,,Fate: A Saga Winx: Temporada 1: Assassino na escola (Episódio 4),,TCL TV 2018 UHD Android TV Smart TV,00:22:19,Not latest view,BR (Brazil)
Alexandre,2024-01-03 03:02:19,00:00:12,Autoplayed: user action: None; ,Temporada 2 (Teaser 2): Fate: A Saga Winx,TEASER_TRAILER,TCL TV 2018 UHD Android TV Smart TV,00:00:12,00:00:12,BR (Brazil)
